customer_id,customer_tier,region,plan,industry,monthly_revenue,mrr,arr,customer_since,churn_flag,renewal_date,account_age_days,usage_score,support_tickets,nps_score
CUS-000001,silver,EU,starter,manufacturing,439,439,5268,2024-03-28,true,2025-03-28,888,48,13,2
CUS-000002,silver,NA,starter,tech,930,930,11160,2023-10-21,false,2024-10-21,1047,72,13,9
CUS-000003,bronze,APAC,enterprise,finance,127,127,1524,2024-06-21,false,2025-06-21,803,76,6,6
CUS-000004,gold,EU,unlimited,healthcare,1203,1203,14436,2024-05-28,false,2025-05-28,827,43,1,9
CUS-000005,platinum,EU,professional,tech,16562,16562,198744,2024-01-20,false,2025-01-20,956,59,12,1
CUS-000006,silver,EU,professional,manufacturing,862,862,10344,2024-03-19,false,2025-03-19,898,68,4,1
CUS-000007,silver,LATAM,professional,healthcare,491,491,5892,2023-11-26,false,2024-11-26,1011,92,15,8
CUS-000008,silver,APAC,professional,manufacturing,986,986,11832,2023-10-21,false,2024-10-21,1047,34,15,2
CUS-000009,bronze,LATAM,enterprise,tech,161,161,1932,2024-05-04,false,2025-05-04,852,79,11,0
CUS-000010,bronze,LATAM,professional,manufacturing,194,194,2328,2023-12-07,false,2024-12-07,1000,46,12,1
CUS-000011,gold,EU,unlimited,healthcare,2179,2179,26148,2023-11-15,false,2024-11-15,1022,69,10,7
CUS-000012,silver,EU,enterprise,retail,474,474,5688,2023-08-30,false,2024-08-30,1100,54,6,0
CUS-000013,gold,APAC,unlimited,retail,4819,4819,57828,2023-06-15,false,2024-06-15,1175,62,9,6
CUS-000014,gold,NA,professional,healthcare,1178,1178,14136,2023-04-20,false,2024-04-20,1231,83,14,0
CUS-000015,platinum,NA,professional,manufacturing,6772,6772,81264,2024-09-16,true,2025-09-16,716,96,2,1
CUS-000016,bronze,LATAM,enterprise,finance,78,78,936,2024-04-12,false,2025-04-12,874,79,7,9
CUS-000017,gold,NA,professional,retail,4606,4606,55272,2024-09-29,false,2025-09-29,703,36,14,6
CUS-000018,silver,NA,professional,retail,950,950,11400,2024-10-22,false,2025-10-22,680,62,14,2
CUS-000019,bronze,APAC,enterprise,media,178,178,2136,2023-04-26,false,2024-04-26,1225,64,1,3
CUS-000020,gold,APAC,unlimited,media,1582,1582,18984,2023-09-15,false,2024-09-15,1084,85,6,5
CUS-000021,platinum,LATAM,enterprise,media,6567,6567,78804,2023-03-02,false,2024-03-02,1280,34,14,7
CUS-000022,bronze,EU,professional,finance,220,220,2640,2024-08-14,false,2025-08-14,749,42,4,4
