transaction_id,customer_id,transaction_date,amount,type,region,flagged
TXN-00000001,CUS-080975,2026-06-08,9999,subscription,APAC,false
TXN-00000002,CUS-056583,2025-11-30,4999,refund,APAC,false
TXN-00000003,CUS-047815,2025-09-16,4999,upgrade,EU,false
TXN-00000004,CUS-082019,2026-08-12,99999,Add-on,APAC,false
TXN-00000005,CUS-071584,2025-11-02,1999,upgrade,EU,false
TXN-00000006,CUS-096475,2025-11-16,499,refund,EU,false
TXN-00000007,CUS-078319,2026-01-05,999,upgrade,APAC,false
TXN-00000008,CUS-000592,2026-07-31,199,refund,APAC,false
TXN-00000009,CUS-082328,2026-07-09,99999,refund,EU,false
TXN-00000010,CUS-033169,2026-05-20,4999,upgrade,APAC,false
TXN-00000011,CUS-035525,2026-01-16,49999,upgrade,EU,false
TXN-00000012,CUS-059591,2025-11-17,4999,downgrade,NA,false
TXN-00000013,CUS-021915,2025-10-20,1999,refund,APAC,false
TXN-00000014,CUS-028947,2025-09-14,49999,Add-on,APAC,false
TXN-00000015,CUS-042373,2025-12-31,19999,refund,NA,false
TXN-00000016,CUS-042737,2025-09-11,4999,subscription,NA,false
TXN-00000017,CUS-072751,2026-03-16,9999,refund,EU,false
TXN-00000018,CUS-099437,2025-09-19,4999,downgrade,APAC,false
TXN-00000019,CUS-043726,2026-03-31,19999,downgrade,APAC,false
TXN-00000020,CUS-064301,2026-07-01,4999,refund,EU,false
TXN-00000021,CUS-032743,2025-09-10,9999,Add-on,APAC,false
TXN-00000022,CUS-077658,2026-05-04,99,upgrade,EU,false
TXN-00000023,CUS-072007,2026-07-16,499,upgrade,EU,false
TXN-00000024,CUS-061588,2026-01-31,199,Add-on,NA,false
TXN-00000025,CUS-021449,2025-12-13,9999,refund,NA,false
TXN-00000026,CUS-079851,2025-11-22,9999,subscription,APAC,false
TXN-00000027,CUS-087385,2026-02-28,19999,upgrade,APAC,true
TXN-00000028,CUS-025140,2026-01-25,999,subscription,APAC,true
TXN-00000029,CUS-032304,2026-01-02,999,upgrade,EU,false
TXN-00000030,CUS-061365,2026-07-29,99999,Add-on,NA,false
TXN-00000031,CUS-022755,2025-09-28,99999,Add-on,EU,false
TXN-00000032,CUS-026184,2026-06-14,99,refund,EU,false
TXN-00000033,CUS-032252,2026-02-22,199,refund,EU,false
TXN-00000034,CUS-032557,2026-01-04,99999,subscription,NA,false
TXN-00000035,CUS-071395,2025-11-04,199,Add-on,APAC,false
TXN-00000036,CUS-074222,2026-06-08,19999,subscription,APAC,false
